Id,billLengthCm,billWidthCm,flipperLengthCm,flipperWidthCm,Species
1,5.1,3.5,1.4,0.2,penguins-setosa
2,4.9,3.0,1.4,0.2,penguins-setosa
3,4.7,3.2,1.3,0.2,penguins-setosa
4,4.6,3.1,1.5,0.2,penguins-setosa
5,5.0,3.6,1.4,0.2,penguins-setosa
6,5.4,3.9,1.7,0.4,penguins-setosa
7,4.6,3.4,1.4,0.3,penguins-setosa
8,5.0,3.4,1.5,0.2,penguins-setosa
9,4.4,2.9,1.4,0.2,penguins-setosa
10,4.9,3.1,1.5,0.1,penguins-setosa
11,5.4,3.7,1.5,0.2,penguins-setosa
12,4.8,3.4,1.6,0.2,penguins-setosa
13,4.8,3.0,1.4,0.1,penguins-setosa
14,4.3,3.0,1.1,0.1,penguins-setosa
15,5.8,4.0,1.2,0.2,penguins-setosa
16,5.7,4.4,1.5,0.4,penguins-setosa
17,5.4,3.9,1.3,0.4,penguins-setosa
18,5.1,3.5,1.4,0.3,penguins-setosa
19,5.7,3.8,1.7,0.3,penguins-setosa
20,5.1,3.8,1.5,0.3,penguins-setosa
21,5.4,3.4,1.7,0.2,penguins-setosa
22,5.1,3.7,1.5,0.4,penguins-setosa
23,4.6,3.6,1.0,0.2,penguins-setosa
24,5.1,3.3,1.7,0.5,penguins-setosa
25,4.8,3.4,1.9,0.2,penguins-setosa
26,5.0,3.0,1.6,0.2,penguins-setosa
27,5.0,3.4,1.6,0.4,penguins-setosa
28,5.2,3.5,1.5,0.2,penguins-setosa
29,5.2,3.4,1.4,0.2,penguins-setosa
30,4.7,3.2,1.6,0.2,penguins-setosa
31,4.8,3.1,1.6,0.2,penguins-setosa
32,5.4,3.4,1.5,0.4,penguins-setosa
33,5.2,4.1,1.5,0.1,penguins-setosa
34,5.5,4.2,1.4,0.2,penguins-setosa
35,4.9,3.1,1.5,0.1,penguins-setosa
36,5.0,3.2,1.2,0.2,penguins-setosa
37,5.5,3.5,1.3,0.2,penguins-setosa
38,4.9,3.1,1.5,0.1,penguins-setosa
39,4.4,3.0,1.3,0.2,penguins-setosa
40,5.1,3.4,1.5,0.2,penguins-setosa
41,5.0,3.5,1.3,0.3,penguins-setosa
42,4.5,2.3,1.3,0.3,penguins-setosa
43,4.4,3.2,1.3,0.2,penguins-setosa
44,5.0,3.5,1.6,0.6,penguins-setosa
45,5.1,3.8,1.9,0.4,penguins-setosa
46,4.8,3.0,1.4,0.3,penguins-setosa
47,5.1,3.8,1.6,0.2,penguins-setosa
48,4.6,3.2,1.4,0.2,penguins-setosa
49,5.3,3.7,1.5,0.2,penguins-setosa
50,5.0,3.3,1.4,0.2,penguins-setosa
51,7.0,3.2,4.7,1.4,penguins-versicolor
52,6.4,3.2,4.5,1.5,penguins-versicolor
53,6.9,3.1,4.9,1.5,penguins-versicolor
54,5.5,2.3,4.0,1.3,penguins-versicolor
55,6.5,2.8,4.6,1.5,penguins-versicolor
56,5.7,2.8,4.5,1.3,penguins-versicolor
57,6.3,3.3,4.7,1.6,penguins-versicolor
58,4.9,2.4,3.3,1.0,penguins-versicolor
59,6.6,2.9,4.6,1.3,penguins-versicolor
60,5.2,2.7,3.9,1.4,penguins-versicolor
61,5.0,2.0,3.5,1.0,penguins-versicolor
62,5.9,3.0,4.2,1.5,penguins-versicolor
63,6.0,2.2,4.0,1.0,penguins-versicolor
64,6.1,2.9,4.7,1.4,penguins-versicolor
65,5.6,2.9,3.6,1.3,penguins-versicolor
66,6.7,3.1,4.4,1.4,penguins-versicolor
67,5.6,3.0,4.5,1.5,penguins-versicolor
68,5.8,2.7,4.1,1.0,penguins-versicolor
69,6.2,2.2,4.5,1.5,penguins-versicolor
70,5.6,2.5,3.9,1.1,penguins-versicolor
71,5.9,3.2,4.8,1.8,penguins-versicolor
72,6.1,2.8,4.0,1.3,penguins-versicolor
73,6.3,2.5,4.9,1.5,penguins-versicolor
74,6.1,2.8,4.7,1.2,penguins-versicolor
75,6.4,2.9,4.3,1.3,penguins-versicolor
76,6.6,3.0,4.4,1.4,penguins-versicolor
77,6.8,2.8,4.8,1.4,penguins-versicolor
78,6.7,3.0,5.0,1.7,penguins-versicolor
79,6.0,2.9,4.5,1.5,penguins-versicolor
80,5.7,2.6,3.5,1.0,penguins-versicolor
81,5.5,2.4,3.8,1.1,penguins-versicolor
82,5.5,2.4,3.7,1.0,penguins-versicolor
83,5.8,2.7,3.9,1.2,penguins-versicolor
84,6.0,2.7,5.1,1.6,penguins-versicolor
85,5.4,3.0,4.5,1.5,penguins-versicolor
86,6.0,3.4,4.5,1.6,penguins-versicolor
87,6.7,3.1,4.7,1.5,penguins-versicolor
88,6.3,2.3,4.4,1.3,penguins-versicolor
89,5.6,3.0,4.1,1.3,penguins-versicolor
90,5.5,2.5,4.0,1.3,penguins-versicolor
91,5.5,2.6,4.4,1.2,penguins-versicolor
92,6.1,3.0,4.6,1.4,penguins-versicolor
93,5.8,2.6,4.0,1.2,penguins-versicolor
94,5.0,2.3,3.3,1.0,penguins-versicolor
95,5.6,2.7,4.2,1.3,penguins-versicolor
96,5.7,3.0,4.2,1.2,penguins-versicolor
97,5.7,2.9,4.2,1.3,penguins-versicolor
98,6.2,2.9,4.3,1.3,penguins-versicolor
99,5.1,2.5,3.0,1.1,penguins-versicolor
100,5.7,2.8,4.1,1.3,penguins-versicolor
101,6.3,3.3,6.0,2.5,penguins-virginica
102,5.8,2.7,5.1,1.9,penguins-virginica
103,7.1,3.0,5.9,2.1,penguins-virginica
104,6.3,2.9,5.6,1.8,penguins-virginica
105,6.5,3.0,5.8,2.2,penguins-virginica
106,7.6,3.0,6.6,2.1,penguins-virginica
107,4.9,2.5,4.5,1.7,penguins-virginica
108,7.3,2.9,6.3,1.8,penguins-virginica
109,6.7,2.5,5.8,1.8,penguins-virginica
110,7.2,3.6,6.1,2.5,penguins-virginica
111,6.5,3.2,5.1,2.0,penguins-virginica
112,6.4,2.7,5.3,1.9,penguins-virginica
113,6.8,3.0,5.5,2.1,penguins-virginica
114,5.7,2.5,5.0,2.0,penguins-virginica
115,5.8,2.8,5.1,2.4,penguins-virginica
116,6.4,3.2,5.3,2.3,penguins-virginica
117,6.5,3.0,5.5,1.8,penguins-virginica
118,7.7,3.8,6.7,2.2,penguins-virginica
119,7.7,2.6,6.9,2.3,penguins-virginica
120,6.0,2.2,5.0,1.5,penguins-virginica
121,6.9,3.2,5.7,2.3,penguins-virginica
122,5.6,2.8,4.9,2.0,penguins-virginica
123,7.7,2.8,6.7,2.0,penguins-virginica
124,6.3,2.7,4.9,1.8,penguins-virginica
125,6.7,3.3,5.7,2.1,penguins-virginica
126,7.2,3.2,6.0,1.8,penguins-virginica
127,6.2,2.8,4.8,1.8,penguins-virginica
128,6.1,3.0,4.9,1.8,penguins-virginica
129,6.4,2.8,5.6,2.1,penguins-virginica
130,7.2,3.0,5.8,1.6,penguins-virginica
131,7.4,2.8,6.1,1.9,penguins-virginica
132,7.9,3.8,6.4,2.0,penguins-virginica
133,6.4,2.8,5.6,2.2,penguins-virginica
134,6.3,2.8,5.1,1.5,penguins-virginica
135,6.1,2.6,5.6,1.4,penguins-virginica
136,7.7,3.0,6.1,2.3,penguins-virginica
137,6.3,3.4,5.6,2.4,penguins-virginica
138,6.4,3.1,5.5,1.8,penguins-virginica
139,6.0,3.0,4.8,1.8,penguins-virginica
140,6.9,3.1,5.4,2.1,penguins-virginica
141,6.7,3.1,5.6,2.4,penguins-virginica
142,6.9,3.1,5.1,2.3,penguins-virginica
143,5.8,2.7,5.1,1.9,penguins-virginica
144,6.8,3.2,5.9,2.3,penguins-virginica
145,6.7,3.3,5.7,2.5,penguins-virginica
146,6.7,3.0,5.2,2.3,penguins-virginica
147,6.3,2.5,5.0,1.9,penguins-virginica
148,6.5,3.0,5.2,2.0,penguins-virginica
149,6.2,3.4,5.4,2.3,penguins-virginica
150,5.9,3.0,5.1,1.8,penguins-virginica
